node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4859400394,0.2021041829,0.4159035406,242.0123998,100.7335397
TRAF6,0.599899842,0.1438218227,0.2397430582,299.1548438,71.55114434
TRAF2_3,0.6546480535,0.09606068563,0.1467363801,326.6838653,47.8232729
Btx,0.422755113,0.1925029383,0.4553533059,210.025941,95.60778014
TAK1_TAB,0.4961171305,0.1308669023,0.2637822689,246.7556902,65.01117593
NEMO_IKKa_IKKb,0.4175119129,0.1113226314,0.2666334252,207.3066754,55.2620666
IkBa_release_signal,0.2828166015,0.1163693778,0.411465866,140.0422144,57.72595714
p50_p65,0.1844985557,0.096460399,0.5228246837,91.16366053,47.7722721
TNFa,0.5184063974,0.2261529647,0.4362464774,251.6321091,111.3001036
p100,0.1718815828,0.1142931905,0.6649530952,84.39667408,56.07159496
Phenotype_canonical,0.6833371434,0.2300434386,0.3366470575,329.0576083,115.042147
NIK,0.4092478028,0.1761297427,0.4303743148,203.240028,87.48452333
IKKa_noncanonical,0.301438593,0.1465353047,0.4861199201,149.2608764,72.67158485
p100_RelB,0.3595306967,0.1301743313,0.362067363,177.1412464,64.31651373
p52,0.3133358274,0.1611847943,0.5144154615,153.8856565,79.27519384
BAFF,0.6822503034,0.1555720571,0.2280278313,332.7322867,77.50695861
Phenotype_noncanonical,0.7902649549,0.1462898899,0.1851149908,381.4119868,74.87601408
