node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4836256347,0.1878097987,0.3883371459,241.0578152,93.55251894
TRAF6,0.6184832386,0.1271813947,0.2056343434,308.4358433,63.41500812
TRAF2_3,0.6595869113,0.0894338467,0.1355906935,328.9256656,44.63678489
Btx,0.3878983564,0.1773833604,0.4572934056,192.7570169,88.29210521
TAK1_TAB,0.4939559789,0.1425353261,0.2885587628,245.7098972,70.73421847
NEMO_IKKa_IKKb,0.3985090895,0.1004321879,0.2520198173,197.9591744,50.08031362
IkBa_release_signal,0.273822037,0.1155926277,0.4221450872,135.6459696,57.28869729
p50_p65,0.1674588428,0.09696410361,0.5790324477,82.76017088,48.07242376
TNFa,0.4870232848,0.252674445,0.5188138901,236.6143653,124.1577519
p100,0.1904709897,0.1565782878,0.8220584564,93.46455343,76.7624884
Phenotype_canonical,0.6373665159,0.2574345899,0.4039035366,305.9616259,128.1698398
NIK,0.4079322518,0.1790089569,0.4388203093,202.9927626,88.9539067
IKKa_noncanonical,0.3121336992,0.1629572958,0.5220753035,154.5431732,80.52623173
p100_RelB,0.3570752869,0.1371992273,0.3842305317,176.0868459,67.87445044
p52,0.2979579345,0.1770694908,0.5942768099,146.2030962,86.80945296
BAFF,0.6710280529,0.1587239562,0.2365384807,327.0728776,79.03296145
Phenotype_noncanonical,0.7501399309,0.1937865635,0.2583338862,361.2375782,97.04974561
