node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.476417108,0.1885001933,0.3956620998,237.4530006,93.78375771
TRAF6,0.6000055639,0.1258960712,0.2098248396,299.2643562,62.7086915
TRAF2_3,0.6509436135,0.0802119038,0.123224043,324.632454,39.99522133
Btx,0.4333677551,0.1655431853,0.3819923919,215.5586399,82.29652798
TAK1_TAB,0.4897783192,0.140825742,0.2875295546,243.3750837,69.88168765
NEMO_IKKa_IKKb,0.4375283272,0.1222227951,0.2793483017,217.1823613,60.78707594
IkBa_release_signal,0.2622230339,0.1254418506,0.4783784578,129.8207081,62.11556892
p50_p65,0.1980559399,0.1104201539,0.5575200318,97.76794368,54.54815712
TNFa,0.52411069,0.2436978845,0.4649740773,254.7280238,120.0057038
p100,0.2067989959,0.1609759837,0.7784176271,101.6248435,79.07558014
Phenotype_canonical,0.6964309334,0.2401151365,0.3447795395,335.8401905,119.6498223
NIK,0.3977766998,0.1785556412,0.4488841133,197.637406,88.6721343
IKKa_noncanonical,0.2975109051,0.1658856781,0.5575784793,147.4068137,82.26945575
p100_RelB,0.3514997372,0.1212389143,0.344918933,173.0724075,59.87185662
p52,0.3085225278,0.1477219258,0.4788043418,151.3576807,72.59539529
BAFF,0.6604736282,0.1805524751,0.2733681822,321.9229846,90.01462235
Phenotype_noncanonical,0.7926116656,0.1457220107,0.1838504492,382.6896905,74.80500367
