node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4982028138,0.194279697,0.3899610593,248.2138333,96.51293256
TRAF6,0.5971011635,0.1461385587,0.2447467325,297.8446844,72.84161723
TRAF2_3,0.6543382178,0.08908975806,0.1361524601,326.3509839,44.41580544
Btx,0.3868624204,0.1699722473,0.4393609675,192.36465,84.45801715
TAK1_TAB,0.4787885698,0.1335912742,0.2790193472,238.086477,66.41403038
NEMO_IKKa_IKKb,0.4450227885,0.105047754,0.2360502805,220.8433988,52.26860617
IkBa_release_signal,0.2758069116,0.1246120663,0.4518090776,136.4611252,61.68742441
p50_p65,0.1929146675,0.1040648235,0.5394344811,95.20568405,51.55907774
TNFa,0.5359574732,0.2407876415,0.4492663197,260.8548634,118.8314655
p100,0.2024977396,0.1560902201,0.7708245063,99.34701147,76.64708035
Phenotype_canonical,0.6779541824,0.2271487652,0.3350503191,325.992638,113.3113738
NIK,0.4139495862,0.1628957444,0.3935159011,205.8118986,80.91413877
IKKa_noncanonical,0.289535809,0.134975511,0.4661789901,143.4282056,66.96031217
p100_RelB,0.3803074623,0.1220162056,0.3208356861,187.4902354,60.26883915
p52,0.3127116568,0.1564162548,0.5001932336,153.5902646,76.97575854
BAFF,0.661873628,0.1909537983,0.2885049203,323.1116456,94.55941224
Phenotype_noncanonical,0.7746756443,0.1914916663,0.2471894756,374.399204,96.40786359
