node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4875804877,0.183784506,0.3769316259,242.8754762,91.60322479
TRAF6,0.5855718166,0.1330057768,0.2271382827,292.0268592,66.23105397
TRAF2_3,0.6580438684,0.08727886938,0.132633816,328.1611937,43.60014577
Btx,0.4024987427,0.1626622878,0.40413117,200.1621485,81.08048121
TAK1_TAB,0.5008610773,0.1425164106,0.2845427944,249.0390493,70.82842097
NEMO_IKKa_IKKb,0.4270890041,0.1160745567,0.2717807192,212.1218606,57.67117619
IkBa_release_signal,0.2733688566,0.1282556721,0.4691670944,135.3015453,63.67919079
p50_p65,0.1896937019,0.09446050835,0.4979633345,93.7320204,46.75652061
TNFa,0.542243294,0.2222421168,0.4098568286,263.8759155,109.4306453
p100,0.2065938815,0.1455009321,0.704284808,101.4294781,71.46586346
Phenotype_canonical,0.7146144302,0.204919667,0.2867555682,344.5295287,103.115665
NIK,0.4001582212,0.1666608326,0.4164873387,198.9844523,82.69145756
IKKa_noncanonical,0.3214474575,0.1738965922,0.540979834,159.1789582,86.04904444
p100_RelB,0.3478627336,0.1214011103,0.3489914228,171.5533077,60.08540232
p52,0.2822882127,0.1425302711,0.5049104593,138.6755091,70.16662936
BAFF,0.6789926816,0.1936962052,0.2852699454,331.7475182,96.05679801
Phenotype_noncanonical,0.8036226888,0.1267462136,0.1577185605,388.1812966,65.10885932
