node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4570848201,0.1785219419,0.3905663327,227.727937,88.91466729
TRAF6,0.6111237276,0.1168768231,0.1912490348,304.6796115,58.29458923
TRAF2_3,0.6650977153,0.08561855971,0.1287307981,331.6539122,42.67772391
Btx,0.3920008905,0.1694196767,0.432192071,194.6595972,84.24349016
TAK1_TAB,0.4910286961,0.1508964073,0.3073066981,244.1717034,75.02412865
NEMO_IKKa_IKKb,0.3884347029,0.1032643289,0.2658473307,192.9598224,51.31202933
IkBa_release_signal,0.2436180535,0.09593932807,0.3938104204,120.6466549,47.61857914
p50_p65,0.1706992709,0.07762579414,0.4547517616,84.31573298,38.39779534
TNFa,0.5297029733,0.2171813442,0.4100058998,257.4083444,107.166131
p100,0.1939209343,0.1427124712,0.7359312275,95.22584739,70.04133874
Phenotype_canonical,0.6997777195,0.2172760057,0.3104928889,337.5847414,108.8560748
NIK,0.4156538488,0.174568145,0.4199844306,206.4360999,86.60755008
IKKa_noncanonical,0.3007799613,0.1669424365,0.5550317773,149.0036669,82.74920219
p100_RelB,0.3465062997,0.1235552685,0.3565743787,170.9540914,61.00170966
p52,0.3183844697,0.1475467567,0.4634232217,156.3461456,72.28839955
BAFF,0.6729967358,0.1769528413,0.2629326888,328.1982482,88.26314538
Phenotype_noncanonical,0.7832233673,0.1781255076,0.2274261916,378.3994913,89.53010697
