node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4805880647,0.1731411801,0.3602694132,239.4711403,86.15399044
TRAF6,0.6225099499,0.1303569486,0.2094054057,310.4353472,64.97930563
TRAF2_3,0.6527579786,0.1000301718,0.1532423579,325.6996575,49.75866161
Btx,0.418648359,0.1766722372,0.4220062814,208.0249579,87.82715527
TAK1_TAB,0.5009561019,0.151766356,0.3029534033,249.0899997,75.45099999
NEMO_IKKa_IKKb,0.4145049657,0.1179980873,0.284672313,205.8488832,58.59296332
IkBa_release_signal,0.2748463583,0.1142521565,0.4156946348,135.9331469,56.54955001
p50_p65,0.1830931491,0.09028117267,0.4930887535,90.39490846,44.72727836
TNFa,0.5363425008,0.2368174825,0.4415415189,260.7298177,116.4242426
p100,0.2194358065,0.1477189086,0.6731759548,107.6220024,72.36219446
Phenotype_canonical,0.7096301956,0.2159370692,0.3042952097,342.1286467,108.2138239
NIK,0.3962787065,0.177528807,0.4479897711,196.8460121,88.22564535
IKKa_noncanonical,0.3061111528,0.1640948504,0.5360629591,151.4662224,81.191343
p100_RelB,0.3536580245,0.1222909955,0.3457888329,174.2618548,60.33007288
p52,0.3020312964,0.1711079208,0.5665238101,148.1714067,84.00684929
BAFF,0.6947565556,0.1485745589,0.2138512515,338.6614033,74.32776045
Phenotype_noncanonical,0.766122766,0.1878118751,0.2451459262,369.22618,94.93765978
