node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4714050062,0.17410687,0.369336065,235.0131257,86.7567977
TRAF6,0.6017218351,0.1466690097,0.2437488572,299.9899419,73.0659857
TRAF2_3,0.6628464608,0.09239966139,0.1393982873,330.6440199,46.11133315
Btx,0.3981382836,0.1750553108,0.4396846976,197.8929987,87.06794486
TAK1_TAB,0.5027170017,0.1398356622,0.2781598031,249.9522737,69.45301911
NEMO_IKKa_IKKb,0.4194397746,0.1159179877,0.2763638422,208.1139518,57.63819839
IkBa_release_signal,0.2797726094,0.1168669429,0.4177211741,138.6431406,58.01592818
p50_p65,0.1928824761,0.09748849925,0.5054295301,95.25733174,48.31274222
TNFa,0.5476634688,0.21422093,0.3911543169,266.2410484,105.7092436
p100,0.1879339892,0.1372698207,0.7304150848,92.24949223,67.23215378
Phenotype_canonical,0.7028342592,0.2339214332,0.3328258834,339.2237583,116.9139646
NIK,0.4022494805,0.1760226134,0.4375956265,199.9214554,87.4893544
IKKa_noncanonical,0.2875141302,0.1457144154,0.5068078402,142.4306146,71.9868899
p100_RelB,0.3622334929,0.1265128532,0.3492577458,178.5513299,62.42164894
p52,0.3030333484,0.1531328639,0.5053333722,148.8561223,75.19900325
BAFF,0.6719530076,0.1984130985,0.2952782356,327.8832605,98.16541311
Phenotype_noncanonical,0.7991613301,0.1602259071,0.2004925677,386.2113576,81.18249467
