node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4844475051,0.1888998334,0.3899283852,241.3493357,94.12919462
TRAF6,0.6034865069,0.1265441863,0.2096885097,300.945183,63.10121388
TRAF2_3,0.6649665761,0.09070315127,0.136402572,331.7745217,45.20361284
Btx,0.3947243742,0.1828497244,0.4632339333,196.3009756,90.85436023
TAK1_TAB,0.4946046323,0.15502207,0.3134262396,245.7098428,77.13501494
NEMO_IKKa_IKKb,0.4251739478,0.1215360623,0.2858502101,210.9189719,60.3004359
IkBa_release_signal,0.2661183841,0.1198554523,0.4503839623,131.4649923,59.35234509
p50_p65,0.1834804006,0.09883416831,0.5386633557,90.4219784,48.75465954
TNFa,0.5351497291,0.2212068813,0.4133551215,259.8393987,108.9025632
p100,0.2034631735,0.1569072016,0.7711823176,99.86401528,76.94107566
Phenotype_canonical,0.6859410201,0.2338615434,0.3409353524,330.5961539,117.3528745
NIK,0.4199463573,0.1759518587,0.41898651,208.6508045,87.38600575
IKKa_noncanonical,0.304399927,0.1610519851,0.5290802358,150.8477239,79.7607667
p100_RelB,0.3389537349,0.1351288749,0.3986646581,166.9632511,66.56484994
p52,0.2916923016,0.1499432631,0.5140460076,143.3787254,73.82018491
BAFF,0.6681398406,0.1883634678,0.281922221,325.723038,93.4810899
Phenotype_noncanonical,0.7910958364,0.1417997106,0.179244668,381.7404439,72.57961331
