node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.483474859,0.1779402099,0.3680443907,240.7872509,88.57740535
TRAF6,0.5975081906,0.1234709798,0.2066431587,297.8493671,61.54099622
TRAF2_3,0.6530540358,0.08742551104,0.1338717874,325.6875544,43.58214352
Btx,0.3969199073,0.1765469861,0.4447924703,197.3315174,87.89670855
TAK1_TAB,0.5032515183,0.1256982324,0.2497721871,250.2564412,62.45334459
NEMO_IKKa_IKKb,0.4038560533,0.09305069563,0.2304055984,200.4543024,46.32955588
IkBa_release_signal,0.2375599295,0.1060345951,0.4463488239,117.556449,52.60125277
p50_p65,0.1506571902,0.08413723394,0.5584680945,74.46438085,41.70818622
TNFa,0.4785282014,0.2383133406,0.4980131577,232.0964257,117.3732896
p100,0.1836736793,0.153304115,0.834654783,90.14075115,75.17640508
Phenotype_canonical,0.6778185208,0.2149565283,0.3171299127,326.083918,107.2539625
NIK,0.4335470315,0.1661728,0.3832866747,215.5106424,82.52168961
IKKa_noncanonical,0.3414493487,0.1774960954,0.5198314072,169.1372711,88.04029659
p100_RelB,0.3426901067,0.1472084321,0.4295672072,168.8605814,72.47900966
p52,0.2575466164,0.1501975496,0.5831858779,126.2585041,73.60273751
BAFF,0.658569712,0.177540449,0.2695848986,320.9630505,88.11713853
Phenotype_noncanonical,0.7391989731,0.1978801581,0.267695391,355.693118,99.25994855
