node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4838121889,0.1977619004,0.408757582,241.1365282,98.51835775
TRAF6,0.5937896256,0.1374819265,0.2315330558,296.232855,68.49508265
TRAF2_3,0.6520863621,0.09596250556,0.1471622643,325.2299399,47.78175035
Btx,0.3988160402,0.1762714132,0.4419867695,198.3955211,87.54829617
TAK1_TAB,0.4973797555,0.1518504681,0.3053008621,247.4168735,75.45019625
NEMO_IKKa_IKKb,0.4681540009,0.1359800409,0.2904600637,232.1359007,67.38793967
IkBa_release_signal,0.3427856867,0.15408185,0.4494990777,169.3151007,75.88735406
p50_p65,0.2939189037,0.1353892891,0.4606348466,144.8200707,66.95804196
TNFa,0.6320011198,0.2033274748,0.321720118,308.2474793,100.6867281
p100,0.2586787132,0.1556326193,0.6016444775,126.9122609,76.53495541
Phenotype_canonical,0.769520214,0.1896142665,0.2464058293,372.7157917,95.52323195
NIK,0.4085024976,0.1637849133,0.4009398088,203.1548973,81.35620816
IKKa_noncanonical,0.3147507646,0.1656328931,0.5262350777,155.8319914,82.0094288
p100_RelB,0.3665610978,0.1202850456,0.3281446022,180.4696734,59.42948453
p52,0.2946111757,0.1544630498,0.5242946045,144.663482,76.01845213
BAFF,0.7015067695,0.1670374942,0.238112448,342.2162596,83.53518817
Phenotype_noncanonical,0.7835516417,0.1778861134,0.2270253854,378.2745607,90.04682751
