node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4578916314,0.1748496133,0.3818580672,228.1753427,87.16935042
TRAF6,0.5871770796,0.1522633343,0.2593141653,292.6936815,75.92372264
TRAF2_3,0.6501666858,0.08280829471,0.1273647151,324.3507717,41.24806474
Btx,0.4109728302,0.1697528401,0.4130512472,204.2771816,84.33429369
TAK1_TAB,0.491829682,0.1500944338,0.3051756316,244.6043017,74.70594772
NEMO_IKKa_IKKb,0.4194511917,0.1075958862,0.2565158671,208.0600019,53.4091342
IkBa_release_signal,0.2588045916,0.1135271943,0.4386598925,128.147243,56.38757605
p50_p65,0.1597066167,0.08466440556,0.5301245954,78.81164119,41.88921593
TNFa,0.4817109887,0.2353903957,0.4886548183,233.9629584,115.78377
p100,0.2013280803,0.1724476349,0.8565503368,98.82974372,84.65369935
Phenotype_canonical,0.6702463096,0.2399688076,0.3580307779,322.587492,118.9237528
NIK,0.4206043352,0.1783519608,0.4240373811,209.2526061,88.65487906
IKKa_noncanonical,0.3164180777,0.1663858623,0.5258418342,156.596852,82.33466795
p100_RelB,0.3416974687,0.1264994902,0.3702090353,168.4287268,62.616362
p52,0.290337798,0.1613824615,0.5558437884,142.5987031,79.2463968
BAFF,0.6682243641,0.1749729544,0.2618476126,326.0008813,87.42094203
Phenotype_noncanonical,0.7765626132,0.1641614437,0.2113949872,374.3398349,83.75642716
