node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4454739132,0.2014727584,0.4522661204,221.9170995,100.4740328
TRAF6,0.5961944668,0.1335725321,0.2240418849,297.0938914,66.59826715
TRAF2_3,0.6661222051,0.1022631815,0.1535201509,332.2719904,51.00044456
Btx,0.4125829934,0.203387517,0.4929614653,204.9775229,101.0782581
TAK1_TAB,0.4904832673,0.1533150138,0.3125794987,243.8289894,76.27196258
NEMO_IKKa_IKKb,0.3872772179,0.1103852609,0.2850290587,192.2036911,54.75672352
IkBa_release_signal,0.2255019011,0.104662694,0.4641322026,111.6926844,51.98794817
p50_p65,0.1566012842,0.0885605219,0.5655159365,77.44275217,43.9616183
TNFa,0.4902670779,0.2243590069,0.4576260921,237.7726778,110.7049696
p100,0.1736693282,0.138844427,0.7994758108,85.30287458,68.15850292
Phenotype_canonical,0.6558455565,0.2324566167,0.3544380448,314.8714233,116.1344682
NIK,0.4036086111,0.1825160293,0.4522104441,200.5495689,90.60491717
IKKa_noncanonical,0.321705458,0.1735431365,0.5394472868,159.1726646,85.98185042
p100_RelB,0.3358777872,0.1329969579,0.3959683044,165.3193058,65.78881553
p52,0.2953095547,0.1759656399,0.5958684273,144.9331214,86.29315961
BAFF,0.6662193762,0.1794156581,0.2693041729,324.651834,89.32941652
Phenotype_noncanonical,0.7506711817,0.1831156343,0.2439358787,360.9094614,92.57978796
