node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4487943245,0.195475412,0.4355567825,223.544604,97.25414994
TRAF6,0.6044318195,0.1307277788,0.2162820927,301.5319188,65.08917876
TRAF2_3,0.6439000222,0.08406930404,0.1305626668,321.1735151,41.82115141
Btx,0.3994195222,0.1426890724,0.3572411073,198.4539015,70.78745749
TAK1_TAB,0.4947150573,0.1486209713,0.3004173192,246.060014,73.85560089
NEMO_IKKa_IKKb,0.4067529791,0.109526408,0.2692700818,201.9480073,54.39674135
IkBa_release_signal,0.2629530701,0.1077590598,0.4098033911,130.2156445,53.40263595
p50_p65,0.1842150522,0.09146187735,0.4964951357,90.9267691,45.18631871
TNFa,0.5197923726,0.23057949,0.443599218,252.9339729,113.5146529
p100,0.1817372561,0.1431666578,0.7877672464,89.26676682,70.30029885
Phenotype_canonical,0.7128598744,0.2055022529,0.2882786088,344.2473377,103.0887221
NIK,0.4131605272,0.1749704074,0.4234925552,205.3325592,86.84035637
IKKa_noncanonical,0.3234930859,0.179720388,0.5555617596,160.3328501,89.14431935
p100_RelB,0.3465904266,0.128917482,0.3719591543,170.6786551,63.77843316
p52,0.2865662567,0.1538372651,0.5368296562,140.7226314,75.61926225
BAFF,0.6699778746,0.1782080641,0.265990969,326.6710991,88.70976947
Phenotype_noncanonical,0.7941542162,0.1392620026,0.1753588909,383.0467458,72.03933665
