node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4708383542,0.1969784917,0.4183569371,234.5927811,98.00209815
TRAF6,0.5921136618,0.1344746585,0.2271095352,295.182409,66.99442862
TRAF2_3,0.6607163102,0.07636063933,0.1155725054,329.4873262,38.1638085
Btx,0.4126186457,0.167315722,0.4054972401,205.0373513,83.10128491
TAK1_TAB,0.4938018534,0.1417773856,0.2871139196,245.5761561,70.42938337
NEMO_IKKa_IKKb,0.4246647702,0.1127278787,0.2654514492,210.85471,55.87786086
IkBa_release_signal,0.2575555961,0.1199365979,0.4656726536,127.6220346,59.4898585
p50_p65,0.1596121525,0.09410902225,0.5896106329,78.76131379,46.59185864
TNFa,0.4897106436,0.2321445014,0.4740442228,237.8820485,114.3385811
p100,0.1843829328,0.1603113215,0.8694477251,90.47348767,78.69295582
Phenotype_canonical,0.6532167173,0.2376008032,0.3637396242,313.8624128,118.2258466
NIK,0.3893305719,0.1609531217,0.4134099228,193.6508904,80.18068509
IKKa_noncanonical,0.3261848601,0.1677504998,0.5142804597,161.4591327,83.1322554
p100_RelB,0.3524603008,0.1274607066,0.3616313846,173.6573635,62.83102565
p52,0.2853128958,0.1633522313,0.5725371467,139.9202649,80.22601127
BAFF,0.6866300148,0.1575006615,0.2293821391,334.8484583,79.04415205
Phenotype_noncanonical,0.7631435236,0.1839164811,0.240998548,367.0835848,92.81597869
