node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4825070118,0.17315665,0.3588686709,240.3475085,86.34565509
TRAF6,0.6039543351,0.1321418473,0.2187944346,301.1364013,65.74967451
TRAF2_3,0.6595935282,0.08575258108,0.1300082209,329.1028379,42.65202
Btx,0.4178810894,0.1758469548,0.4208062037,207.6761883,87.18887056
TAK1_TAB,0.4844579026,0.1262963744,0.2606962829,240.8507337,62.81076293
NEMO_IKKa_IKKb,0.4771791645,0.1353294809,0.2836030802,236.8283403,66.9719004
IkBa_release_signal,0.3590203291,0.169592229,0.4723750029,177.33016,83.58561913
p50_p65,0.2827956318,0.1319348673,0.4665378544,139.5317709,65.43975745
TNFa,0.6311875947,0.2055671844,0.3256831821,307.292845,101.9749499
p100,0.2468680668,0.1641830274,0.6650638516,121.0788294,80.64940081
Phenotype_canonical,0.7603931116,0.200426306,0.2635824851,367.7196704,101.7703985
NIK,0.3943646037,0.174242412,0.4418307585,196.1097377,86.56661167
IKKa_noncanonical,0.3202842994,0.175296947,0.5473167038,158.689178,86.81602913
p100_RelB,0.3634949789,0.1265082584,0.3480330286,179.0592488,62.39657
p52,0.3041953588,0.1534339101,0.5043926728,149.4798698,75.46693126
BAFF,0.6908183782,0.1686606478,0.2441461506,336.9706117,84.10117651
Phenotype_noncanonical,0.8132619789,0.117365858,0.1443149453,392.9149255,61.36376812
