node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4660219031,0.1818561763,0.3902309635,232.1930253,90.551095
TRAF6,0.6031045803,0.1211030742,0.2007994602,300.718111,60.31858932
TRAF2_3,0.6740618459,0.08215748489,0.1218841941,336.313366,41.01090374
Btx,0.3892855253,0.1776798875,0.4564256207,193.5793567,88.43929834
TAK1_TAB,0.505699322,0.1330979757,0.2631958753,251.4383724,66.14370109
NEMO_IKKa_IKKb,0.4040775847,0.09595329955,0.2374625646,200.6578794,47.70693386
IkBa_release_signal,0.2577286219,0.1045699385,0.4057366143,127.618821,51.68600726
p50_p65,0.1731496125,0.08972437301,0.5181898575,85.58623233,44.50381622
TNFa,0.4899988502,0.2408523113,0.4915364826,237.9192614,118.3491012
p100,0.169659141,0.1387155898,0.8176134162,83.3082439,68.12670285
Phenotype_canonical,0.6684341452,0.2426076162,0.362949167,321.9256765,120.5644685
NIK,0.4017585757,0.1765398858,0.4394178406,199.6276847,87.69917697
IKKa_noncanonical,0.3140185872,0.1652972794,0.5263932971,155.4848743,81.59396886
p100_RelB,0.3566774209,0.1342129937,0.3762867672,175.6738385,66.2930093
p52,0.2941115567,0.1617411621,0.5499313385,144.4844708,79.63604764
BAFF,0.6501883078,0.2019370605,0.3105824237,317.0180013,99.9983128
Phenotype_noncanonical,0.7860604832,0.1665881286,0.211927876,379.4972988,84.7802087
