node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4544017051,0.1828949861,0.4024962585,226.4381864,91.17890268
TRAF6,0.5999726749,0.1351508641,0.2252616989,299.1358624,67.21314316
TRAF2_3,0.6551183997,0.08482851744,0.1294857807,326.8657644,42.16896812
Btx,0.3978743887,0.1530975109,0.3847885544,197.8301679,76.10047102
TAK1_TAB,0.5067383855,0.1550041426,0.3058859305,252.0025247,76.86175695
NEMO_IKKa_IKKb,0.4365692295,0.1092093895,0.2501536576,216.6860555,54.29071552
IkBa_release_signal,0.2684394104,0.1140443456,0.4248420358,132.8998714,56.50609003
p50_p65,0.2096387778,0.1061044373,0.5061298222,103.3429043,52.38737044
TNFa,0.583192017,0.2031781528,0.3483898046,284.171073,100.4432912
p100,0.202850306,0.1373184267,0.6769446367,99.53462378,67.37177909
Phenotype_canonical,0.6877172535,0.2386731113,0.3470512193,332.0561763,119.2827196
NIK,0.4124446784,0.1913066376,0.4638358734,205.0764676,94.95430135
IKKa_noncanonical,0.3025509165,0.1712709353,0.5660896263,149.7210201,84.5891103
p100_RelB,0.3543051419,0.1295080487,0.3655268677,174.6096353,64.03778996
p52,0.3011726459,0.1692281528,0.5618974866,148.1206141,83.55047251
BAFF,0.6830659606,0.1690999271,0.2475601727,333.2465217,84.09123156
Phenotype_noncanonical,0.7718959901,0.1845438034,0.239078588,372.4762557,93.21335698
