node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4804208562,0.2020750301,0.4206208526,239.5282957,100.6152464
TRAF6,0.5901732601,0.1230317966,0.20846725,294.3449192,61.329362
TRAF2_3,0.6486001934,0.07485537261,0.1154106542,323.5231563,37.36005406
Btx,0.426248007,0.1448069051,0.3397245329,211.9834164,71.80054086
TAK1_TAB,0.5001875427,0.1353389798,0.2705764704,248.6850299,67.1900949
NEMO_IKKa_IKKb,0.4065274873,0.09847802612,0.2422419866,201.7400336,48.91355857
IkBa_release_signal,0.2575459162,0.09393965066,0.3647491369,127.5062668,46.55268973
p50_p65,0.1595925113,0.08532968994,0.5346722678,78.83193749,42.24570425
TNFa,0.4529508791,0.242446895,0.5352608995,220.1921232,119.2353476
p100,0.1725251839,0.1343582394,0.778774648,84.77866429,65.95662715
Phenotype_canonical,0.6703663974,0.236072415,0.3521543084,323.2457672,117.9554122
NIK,0.3821978167,0.1726197848,0.4516503687,189.9248993,85.7605023
IKKa_noncanonical,0.3052028133,0.1545342341,0.506332928,151.0893708,76.66073126
p100_RelB,0.3654792014,0.131042603,0.3585500966,180.1083429,64.63221749
p52,0.2827703685,0.1498760363,0.5300273756,138.8049435,73.56700573
BAFF,0.6685990677,0.1713973301,0.2563529301,325.721393,85.60591912
Phenotype_noncanonical,0.7881951932,0.1482200479,0.1880499262,380.2411012,75.86380894
