node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4883319308,0.1911220461,0.3913773277,243.3687936,95.30336006
TRAF6,0.5751439763,0.1414217829,0.2458893576,286.9813341,70.44205278
TRAF2_3,0.6535388134,0.08231464324,0.1259521876,325.9534576,41.01699259
Btx,0.4259136108,0.1876386803,0.4405557267,211.8248014,93.05125893
TAK1_TAB,0.4963647821,0.1410378786,0.2841415904,246.6641447,70.06713482
NEMO_IKKa_IKKb,0.4081238355,0.1017575451,0.2493300716,202.6003739,50.67569539
IkBa_release_signal,0.2310906275,0.1032609517,0.4468417989,114.3990704,51.2172397
p50_p65,0.151264415,0.08554034549,0.5655021078,74.75187296,42.40444367
TNFa,0.5068117059,0.2185184821,0.4311630524,246.07927,107.6394421
p100,0.1729031789,0.1362815358,0.7881956636,84.86859083,66.87185113
Phenotype_canonical,0.6297537582,0.241360725,0.3832620638,302.3991315,120.0387037
NIK,0.4026057551,0.1690949232,0.4200012569,200.1601083,84.03640147
IKKa_noncanonical,0.3331461409,0.1759225661,0.5280642471,164.8915842,86.89568223
p100_RelB,0.3393354871,0.1191664935,0.3511760427,167.2253373,59.11343798
p52,0.2903936328,0.1608038591,0.5537444382,142.6674661,79.13332988
BAFF,0.6638864095,0.1785180526,0.2688984893,323.5537883,88.80031021
Phenotype_noncanonical,0.7845950057,0.1661641083,0.2117832858,378.5822898,84.04566399
