node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4748896482,0.1932658015,0.4069699187,236.6159594,96.28576371
TRAF6,0.5898169519,0.1318849784,0.2236032349,294.2182098,65.70293111
TRAF2_3,0.6502415105,0.08601610609,0.1322833204,324.3569858,42.94358434
Btx,0.3965450495,0.1484568626,0.3743757808,197.2581667,73.77810665
TAK1_TAB,0.5038412031,0.1303176358,0.2586482307,250.6493482,64.7198746
NEMO_IKKa_IKKb,0.4029706146,0.09199900961,0.2283020306,199.9911429,45.96411702
IkBa_release_signal,0.2433193129,0.1098284932,0.4513759798,120.5848533,54.60104595
p50_p65,0.1533012557,0.08656254949,0.5646564936,75.66448574,42.80124294
TNFa,0.5018924857,0.2120417597,0.422484428,244.0739273,104.2567088
p100,0.1638644226,0.1369194893,0.8355656894,80.44996805,67.31292213
Phenotype_canonical,0.6734769031,0.2346833395,0.3484653124,324.4604797,117.4890015
NIK,0.4228539655,0.1795111061,0.4245226976,210.1779432,89.19915553
IKKa_noncanonical,0.2999473607,0.1497873708,0.4993788594,148.5722939,74.11699858
p100_RelB,0.3384064371,0.1300287804,0.3842384959,166.7941483,64.34213166
p52,0.2839937724,0.1550932231,0.5461148735,139.4799984,76.35534885
BAFF,0.6805068287,0.1595987339,0.2345292172,331.8432464,79.50802555
Phenotype_noncanonical,0.7834033385,0.1562690782,0.1994746135,377.7602448,79.34165712
