node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4662397225,0.1898551081,0.4072049182,232.3193626,94.65357795
TRAF6,0.5771812263,0.1338910872,0.2319740857,287.788813,66.63923724
TRAF2_3,0.6825338274,0.09287969413,0.1360807192,340.4527397,46.26112897
Btx,0.3585723036,0.1678633644,0.4681436985,178.3711763,83.33644364
TAK1_TAB,0.5094076957,0.1458700087,0.2863521889,253.3219836,72.64485893
NEMO_IKKa_IKKb,0.4736182803,0.1447570481,0.3056407535,235.0043525,71.81138012
IkBa_release_signal,0.3330872541,0.1533229694,0.4603087255,164.668396,75.56743542
p50_p65,0.2841353884,0.1281742717,0.4511028087,140.0718355,63.44460506
TNFa,0.6201140191,0.2147399088,0.346291008,302.2244366,106.7160958
p100,0.2722077979,0.1680198493,0.6172484791,133.4901956,82.39511358
Phenotype_canonical,0.7616694266,0.2042801829,0.2682005812,368.485614,103.0618835
NIK,0.3577704718,0.178985289,0.5002796574,177.7525958,88.80175056
IKKa_noncanonical,0.292899841,0.1531245877,0.5227882241,144.9231712,75.91511272
p100_RelB,0.39283801,0.1546057723,0.393561133,193.4005864,76.27966688
p52,0.2922062136,0.1543418814,0.5281950697,143.1714687,75.67000125
BAFF,0.6642155065,0.187967699,0.2829920367,323.6997024,93.29659612
Phenotype_noncanonical,0.7666511319,0.1678846552,0.2189844223,368.9135688,85.43583067
