node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4322496897,0.1836200503,0.424800884,215.5022241,91.56033405
TRAF6,0.5948072249,0.1446743472,0.2432289675,296.6452714,72.09000178
TRAF2_3,0.6513905579,0.08487974832,0.1303054631,324.931793,42.3914627
Btx,0.4246478911,0.1725051814,0.4062311036,211.1190932,85.66609441
TAK1_TAB,0.5082832434,0.1410152474,0.2774343817,252.7937672,69.97963443
NEMO_IKKa_IKKb,0.4575852419,0.1383046867,0.3022490109,227.0900477,68.5889323
IkBa_release_signal,0.3391129965,0.1553418475,0.4580828489,167.599817,76.76414836
p50_p65,0.3002743007,0.1330919412,0.4432345389,147.674028,65.58054201
TNFa,0.6143861239,0.2061180944,0.3354862461,298.7461569,102.3103676
p100,0.2384012557,0.1438514057,0.6034003692,116.8921778,70.69600774
Phenotype_canonical,0.7787532299,0.1859742822,0.2388102869,377.0819343,94.04026958
NIK,0.4058539735,0.1616820416,0.3983749135,201.9254651,80.30622616
IKKa_noncanonical,0.3084702885,0.1466859153,0.4755268846,152.9345677,72.60734663
p100_RelB,0.3943305806,0.1057501776,0.2681764561,194.2636475,52.39544953
p52,0.318887925,0.1508620399,0.4730879664,156.6859233,74.21863422
BAFF,0.7232810474,0.1341542409,0.1854800999,353.3437055,66.98516464
Phenotype_noncanonical,0.8049670659,0.1480203543,0.1838837396,389.5024125,75.14022003
