node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4577547878,0.1997053972,0.436271564,228.0422794,99.5740321
TRAF6,0.6032233309,0.1399928625,0.2320746816,300.8085538,69.74953441
TRAF2_3,0.6704927687,0.09483008891,0.1414334253,334.420926,47.0933424
Btx,0.3975385189,0.1904550075,0.4790856696,197.5448095,94.63138052
TAK1_TAB,0.4995225105,0.1467228862,0.2937262749,248.5326023,72.95893835
NEMO_IKKa_IKKb,0.4021825516,0.1125392919,0.2798214181,199.5783056,55.88793039
IkBa_release_signal,0.2574356403,0.1178797553,0.4578999054,127.5776763,58.51623635
p50_p65,0.1721401673,0.09786835834,0.5685387662,84.95622166,48.48037372
TNFa,0.5098771194,0.2339066293,0.4587509822,247.5299714,114.9248323
p100,0.1869905723,0.1401126229,0.7493031393,91.75349654,68.83552562
Phenotype_canonical,0.646202591,0.2536842862,0.3925770181,310.843186,125.9877129
NIK,0.4216225809,0.1720128686,0.4079783114,209.4505955,85.3718759
IKKa_noncanonical,0.2981044705,0.1503517303,0.5043591933,147.5479085,74.45274999
p100_RelB,0.3614425724,0.1090177071,0.3016183356,177.9572202,53.74202535
p52,0.3136673925,0.1573442275,0.5016276198,153.954122,77.30104372
BAFF,0.693794472,0.1574875816,0.2269945755,338.4794791,78.90360131
Phenotype_noncanonical,0.7721138875,0.1497248853,0.193915545,371.954341,76.15724417
