node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4479215221,0.1787774525,0.3991267302,223.4973889,89.09946979
TRAF6,0.6047002974,0.1417111365,0.2343493745,301.3645663,70.60326386
TRAF2_3,0.6626591098,0.07457702826,0.1125420705,330.4474886,37.20908706
Btx,0.3982586754,0.1840570855,0.4621546168,197.8442922,91.46397307
TAK1_TAB,0.5017035297,0.1338752486,0.2668413529,249.3903601,66.54331088
NEMO_IKKa_IKKb,0.4270058888,0.1288166005,0.3016740609,212.1053744,63.90266281
IkBa_release_signal,0.2683360993,0.1196045719,0.4457267293,132.7998557,59.26125725
p50_p65,0.1836425474,0.1010154733,0.5500657376,90.55450684,50.00348557
TNFa,0.5198455801,0.2434591865,0.4683298192,252.8890872,119.8905711
p100,0.1976387994,0.1228249196,0.621461575,96.99263028,60.24528295
Phenotype_canonical,0.6698907129,0.2495201722,0.3724789243,322.9072865,123.8883523
NIK,0.4165122958,0.1733389336,0.4161676267,207.0445235,86.04797207
IKKa_noncanonical,0.3204446698,0.1706978803,0.5326906527,158.5723665,84.38479342
p100_RelB,0.3589733413,0.1171357771,0.3263077327,176.8347636,57.92592328
p52,0.3154266534,0.1497588706,0.4747819153,154.6992592,73.41735158
BAFF,0.675367163,0.1758417654,0.2603646949,329.3329983,87.25634892
Phenotype_noncanonical,0.8034189242,0.1391747983,0.1732281804,388.0446665,71.45176537
