node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4497997192,0.1887453646,0.4196209036,224.1888339,94.01892601
TRAF6,0.5759111622,0.1253264408,0.2176141895,287.1464398,62.32046819
TRAF2_3,0.6572641968,0.08128926533,0.1236782191,327.7992034,40.54505496
Btx,0.3990180849,0.1617743204,0.4054310481,198.4216397,80.35247907
TAK1_TAB,0.5183575195,0.1414749827,0.2729293536,257.8057259,70.38975148
NEMO_IKKa_IKKb,0.4696205109,0.1491380543,0.3175714239,233.0128535,73.99736462
IkBa_release_signal,0.3314673295,0.1409557555,0.4252478086,164.0516996,69.93264262
p50_p65,0.2868071687,0.1197755148,0.4176168794,141.3537406,59.22538492
TNFa,0.6305231,0.1779994249,0.2823043675,306.7187389,88.76937749
p100,0.2589971141,0.1522245929,0.58774629,127.0559841,74.6457481
Phenotype_canonical,0.7981237406,0.1650090854,0.2067462437,387.0953454,82.95196236
NIK,0.4358152207,0.1774549464,0.4071793227,216.5900198,88.13508251
IKKa_noncanonical,0.299621477,0.1643220311,0.5484320842,148.5301565,81.24806521
p100_RelB,0.3815986006,0.1238119131,0.3244558888,188.0486792,61.19216237
p52,0.3249092534,0.1652287656,0.5085381962,159.3395589,81.0494102
BAFF,0.6787659821,0.1860789387,0.2741429943,330.9023874,92.51927916
Phenotype_noncanonical,0.7984189055,0.1453916353,0.1820994396,385.5360949,74.17009531
