node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4999406371,0.1854521785,0.3709483982,249.149588,92.46748208
TRAF6,0.5970041344,0.1412970826,0.2366768913,297.7562139,70.37159362
TRAF2_3,0.669015762,0.09766524747,0.1459834775,333.6446971,48.61163493
Btx,0.4159676792,0.1756064783,0.4221637573,206.7243097,87.23638871
TAK1_TAB,0.4837324824,0.1381317152,0.2855539379,240.4476004,68.62849507
NEMO_IKKa_IKKb,0.4453518458,0.1195020916,0.2683318656,221.1561464,59.45169876
IkBa_release_signal,0.2660428783,0.115721545,0.4349732859,131.8507119,57.4662656
p50_p65,0.2004065214,0.09760886012,0.4870543107,99.0234478,48.40585805
TNFa,0.5300910681,0.2230844833,0.4208418076,257.3023753,110.353939
p100,0.2145806564,0.1471184667,0.6856091745,105.4777002,72.46545584
Phenotype_canonical,0.7114966706,0.2172542587,0.3053482436,343.3505916,108.2955649
NIK,0.3579809323,0.1625854475,0.4541734847,177.8142184,80.74704769
IKKa_noncanonical,0.3022616786,0.1726227798,0.5711037554,149.5968506,85.61443068
p100_RelB,0.3506408286,0.1282227235,0.3656810987,172.6239832,63.28732146
p52,0.3064681697,0.1562853929,0.5099563619,150.3435468,76.75833418
BAFF,0.6825566785,0.1631278439,0.2389953084,332.5714501,81.54142634
Phenotype_noncanonical,0.7934785905,0.1515205285,0.190957299,382.8140789,77.38261755
