node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.5035126056,0.1705062905,0.3386336083,251.0072525,84.8779112
TRAF6,0.5939562662,0.1265032347,0.2129840898,296.3295901,63.03537656
TRAF2_3,0.6625665458,0.08167593718,0.1232720512,330.5394697,40.69827251
Btx,0.4282288401,0.1771743414,0.4137375273,212.7942069,87.9680947
TAK1_TAB,0.5116747891,0.1260838093,0.2464139566,254.4328668,62.44785868
NEMO_IKKa_IKKb,0.4269137384,0.1171753246,0.274470728,211.9222832,58.1638155
IkBa_release_signal,0.275269423,0.1091661002,0.3965791007,136.3608832,54.21334335
p50_p65,0.1968481341,0.1024800573,0.520604667,97.26538499,50.87169019
TNFa,0.5376172718,0.2297574107,0.4273624058,261.5618805,113.5721124
p100,0.1986471206,0.1440474562,0.7251424322,97.43251448,70.69676661
Phenotype_canonical,0.6987072437,0.1909802333,0.2733336959,335.7017941,97.07894784
NIK,0.3892092918,0.1828590194,0.469821824,193.4768734,90.97255144
IKKa_noncanonical,0.2827082266,0.1358951942,0.4806906251,139.9779874,67.28670763
p100_RelB,0.3600942978,0.1283546717,0.3564473875,177.4236493,63.3419474
p52,0.2945342376,0.1602384187,0.5440400408,144.5827889,78.83105491
BAFF,0.6993306033,0.1500633085,0.2145813551,341.4396962,74.91300414
Phenotype_noncanonical,0.7773370453,0.1550845944,0.1995075307,374.7205278,79.11874845
