node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4730082609,0.1901424869,0.401985552,235.6516449,94.74508002
TRAF6,0.6044643043,0.1477597133,0.2444473765,301.3894104,73.79582154
TRAF2_3,0.6708687071,0.08277237919,0.1233808915,334.7234382,41.19590591
Btx,0.3941864854,0.1893711243,0.480409987,196.0465028,94.0101866
TAK1_TAB,0.4871175189,0.1501894395,0.3083228044,242.2553378,74.73374793
NEMO_IKKa_IKKb,0.3897854851,0.1017155561,0.2609526521,193.6364478,50.53227086
IkBa_release_signal,0.2364287774,0.09727188816,0.4114215251,117.1104495,48.32998148
p50_p65,0.1739140447,0.07753493828,0.4458233286,85.90729807,38.36532073
TNFa,0.5002122399,0.2275921281,0.4549911216,243.0312066,112.063119
p100,0.1847723289,0.1374515009,0.7438965655,90.7154335,67.45765703
Phenotype_canonical,0.7041643682,0.2237763742,0.3177899711,339.7117519,112.0447407
NIK,0.4213882666,0.170160274,0.4038087613,209.6118253,84.49729791
IKKa_noncanonical,0.3276649378,0.1799842124,0.5492934754,162.2655783,89.10067393
p100_RelB,0.3524050799,0.1261330506,0.3579206369,173.6019812,62.28226981
p52,0.2951634044,0.1487604094,0.5039934055,144.8272498,72.9280181
BAFF,0.6591245037,0.1704837463,0.2586518106,321.4057711,85.02216728
Phenotype_noncanonical,0.7793342676,0.1593491571,0.2044683054,375.9925925,81.20165871
