node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4772499494,0.1866166314,0.3910249369,237.7662821,92.87202518
TRAF6,0.5978987359,0.1420028295,0.2375031439,298.1911302,70.52153749
TRAF2_3,0.6721501408,0.09077141036,0.135046331,335.1888177,45.16109306
Btx,0.3779674099,0.1898118424,0.5021910287,187.8850449,94.26739439
TAK1_TAB,0.496403266,0.151211079,0.3046133846,246.9439746,75.00978569
NEMO_IKKa_IKKb,0.4964244681,0.1481391804,0.2984123263,246.3074436,73.51521191
IkBa_release_signal,0.3102276283,0.1680754639,0.5417810944,153.2555508,82.9536433
p50_p65,0.2722665548,0.1233261344,0.4529610127,134.0747002,60.87801201
TNFa,0.5894971646,0.2307694823,0.3914683498,286.5179724,114.326604
p100,0.2603415023,0.1811855766,0.6959534881,127.7458402,88.89443762
Phenotype_canonical,0.7594814284,0.204319613,0.2690251603,367.1579444,103.0474233
NIK,0.4026004992,0.1831878275,0.4550114267,200.0408868,91.04162422
IKKa_noncanonical,0.294577962,0.1639278969,0.5564839126,145.8260703,81.2054143
p100_RelB,0.3654609398,0.1307216931,0.3576899167,179.9430597,64.72630584
p52,0.2900582843,0.1746273092,0.6020421367,142.2684623,85.71329596
BAFF,0.6922918099,0.1784766053,0.2578054554,337.7367741,88.69393875
Phenotype_noncanonical,0.7467879214,0.1884558968,0.2523553092,358.9561725,96.22280937
