node,final_mean,final_sd,final_cv,auc_mean,auc_sd
TNFR,1,0,0,500,2.086128449e-05
IL1R,1,0,0,500,2.086128449e-05
CD40,1,0,0,500,2.086128449e-05
LTB,1,0,0,500,2.086128449e-05
BAFFR,1,0,0,500,2.086128449e-05
TRAF2_5,0.4457350853,0.1935869293,0.4343093816,222.1339153,96.33785682
TRAF6,0.5948483424,0.1372394205,0.230713294,296.6213797,68.4294525
TRAF2_3,0.6564843839,0.07599404151,0.1157591001,327.5336019,37.83235414
Btx,0.4132326151,0.1900842091,0.459993239,205.2907472,94.40948196
TAK1_TAB,0.5027509272,0.1524910603,0.3033133348,249.9892513,75.75477108
NEMO_IKKa_IKKb,0.3923955416,0.1101561231,0.2807272546,194.7873194,54.91137145
IkBa_release_signal,0.2705049136,0.1095148806,0.4048535725,134.0133759,54.28956113
p50_p65,0.1799224299,0.08929146648,0.4962775709,88.87757457,44.20754696
TNFa,0.5279386271,0.2218682474,0.4202538629,256.6569773,109.5179642
p100,0.1946624355,0.133356927,0.6850675975,95.63081464,65.65908949
Phenotype_canonical,0.6787042391,0.202680802,0.2986290498,326.2910326,101.3428738
NIK,0.4100614799,0.1606966057,0.3918841774,203.7904017,79.73988783
IKKa_noncanonical,0.3225216605,0.1691162581,0.52435628,159.6565967,83.6607837
p100_RelB,0.3647730761,0.1348779834,0.369758604,179.7948247,66.66686856
p52,0.2949985389,0.15062324,0.5105897833,144.8685155,73.88011818
BAFF,0.6699379412,0.1586202084,0.2367685103,326.4057712,79.24713736
Phenotype_noncanonical,0.7904084959,0.1505328793,0.1904494702,381.8176369,77.4862629
